Timestamp,Original,Final,Latency (ms),Tone Mode
2025-11-28 05:05:29,"If the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the.","If the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the one, the.",5,formal
2025-11-28 05:08:48,You are going to go and play football.,You are going to go and play football.,25,formal
2025-11-28 05:09:07,I have to go ahead and study.,I have to go ahead and study.,3,soft
2025-11-28 05:09:20,I have to go forward on my path.,I have to go forward on my path.,5,concise
2025-11-28 05:09:35,Do you wanna go and play football?,Do you want to go and play football?,3,formal
2025-11-28 05:09:44,I want to go to the park.,I would like to want to go to the park.,3,formal
2025-11-28 05:12:51,You are going to go and take a football.,"You are going to go, and take a football.",27,formal
2025-11-28 05:15:44,Do you want to get a plane? Do you want to go and play football?,"Do you want to obtain a plane? Do you want to go, and play football?",33,formal
2025-11-28 05:15:51,"Dude, I wanna go and play football.",", I want to go and play football.",4,formal
2025-11-28 05:18:24,You would have no go and play football.,You would have no go and play football.,2,formal
2025-11-28 05:18:47,But I would like to go and play football.,But I would to go and play football.,3,formal
2025-11-28 05:19:02,I would like a T.,I would a t.,4,soft
2025-11-28 05:20:54,"Good morning everyone. Today I want to remind you of something simple but powerful. Progress is progress, no matter how small. We often wait for the perfect moment, the perfect plan or the perfect skill. That will before we begin something you haunted. But the truth is, great journey begin with imperfect steps. Every day we have a chance to move a little closer to the future. We imagine we're learning, trying, failing and trying again. So don't roll yourself back. Start now, start small, but start. because the best time to believe in yourself is today. Thank you.","Good morning everyone. Today I want to remind you of something simple, but powerful. Progress is progress, no matter how small.

We often wait for the perfect moment, the perfect plan, or the perfect skill. That will before we begin something you haunted. But the truth is, great journey begin with imperfect steps!

Every day we have a chance to move a little closer to the future. We imagine we are learning, trying, failing, and trying again. Do not roll yourself back?

Start now, start small,, but start. Because the best time to believe in yourself is today. Thank you.",9,formal
2025-11-28 05:24:11,Here we are gonna go and play football.,Here we are going to go and play football.,32,formal
2025-11-28 05:25:12,I have Umbrella.,I would like to have umbrella.,4,formal
2025-11-28 05:25:23,I have a umbrella.,I would like to have a umbrella.,2,formal
2025-11-28 05:25:46,"So, I want an umbrella.","So, I would like an umbrella, please.",3,soft
2025-11-28 05:25:59,I have an umbrella.,I have an umbrella.,3,concise
2025-11-28 05:26:07,I want a football and want to play with each.,"I want a football, and want to play with each.",3,concise
2025-11-28 05:26:37,I want a football and play with it.,I want a football and play with it.,3,concise
2025-11-28 05:26:52,"So, I have worked tomorrow to model match.","So, I have worked tomorrow to model match.",3,concise
2025-11-28 05:27:01,"I have a two model, two model match.","I have a two model, match.",2,concise
2025-11-28 05:27:17,I am going to play play.,I am going to play play.,3,concise
2025-11-28 05:28:00,"I am going to learn, learn maths, maths.","I am going to learn, learn maths, maths.",3,concise
2025-11-28 05:30:37,I want to play play football.,I would like to want to play football.,36,formal
2025-11-28 05:30:49,"I want to learn, learn maths maths.","If possible, I would like to learn, maths, please.",3,soft
2025-11-28 05:31:06,"Okay, so I was planning to study with more.","Okay, I was planning to study with more.",4,soft
2025-11-28 05:31:43,"Okay, so I'm ready to study with my mom.","Okay, I'm ready to study with my mom.",3,soft
2025-11-28 05:31:59,"Okay, so do it once again, please.","Okay, do it once again, please.",3,soft
2025-11-28 05:42:42,I have to study for a converter.,I would like to have to study for a converter.,40,formal
2025-11-28 05:51:05,I want to play football.,I would like to want to play football.,40,formal
2025-11-28 05:55:40,I want to learn match.,I would like to want to learn match.,29,formal
2025-11-28 06:13:50,"Hello, I want to play football.","Hello, I want to play football.",44,formal
2025-11-28 06:14:55,"Hello, I am Akash Vizkoz. I am a student of MSRAT.","Hello, I am akash vizkoz. I am a student of msrat.",6,formal
2025-11-28 06:22:37,"Hey, how are you? I wanted to go dance with you.","Hello, how are you. I wanted to go dance with you.",24,formal
2025-11-28 06:24:42,"Hey, I have to go and study right now.","Hello, I have to go and study now.",26,formal
2025-11-28 06:25:25,I have a hackathon.,I would like to have a hackathon.,4,formal
2025-11-28 07:26:57,I have her tomorrow match.,I would like to have her tomorrow match.,59,formal
2025-11-28 07:27:10,I have a match tomorrow.,I would like to have a match tomorrow.,2,formal
2025-11-28 07:27:24,Net copy have our...,Net copy have our.,3,formal
2025-11-28 07:44:16,Hello.,Hello. ,588,neutral
2025-11-28 07:44:30,I have been selected in football.,I have been selected in football. ,1401,neutral
2025-11-28 07:49:08,"Okay, so I was kind of thinking about the launch night and it's not it's not really you know ready because the design team They didn't finish the mobile screens and I think I think we are we rusted that line a bit Wait, no, that's not what I mean. I mean the deadlock deadline was fine, but the scope was too big and every one was confused and about what is actually important. And also, yeah, also the Q&A part was honestly kind of last minute and we sort of skipped a lot of test cases just to just to ship something.","Okay, I was thinking about the launch night and it is not ready because the design team they did not finish the mobile screens and I think we are we rusted that line a bit wait, no, that's not what. The deadlock deadline was fine, but the scope was too big and every one was confused and about what is important. And also, yes, also the q&a part was honestly last minute and we skipped a lot of test cases to ship something.

",609,formal
2025-11-28 07:51:37,"Okay, so I was kind of thinking about the launch right and it's not it's not really you know ready because the the design team they they did not finish the mobile screens and I think I think we we launched the deadline a bit Wait, no, that's not what I mean. I mean the deadline was fine, but the scope was was too big and everyone was confused about what is actually important. And also the quotient and answer part was like honest tree kind of last minute and we saw it all skipped a lot of test cases just to just to sweep something. So yeah, I guess what I'm trying to say is we should probably do a smaller cleaner release first and then then at the rest later.","Okay, I was thinking about the launch and it's not ready because the design team they did not finish the mobile screens and I think we launched the deadline a bit wait, no, that's not what. The deadline was fine, but the scope was too big and everyone was confused about what is important. And also the quotient and answer part was honest tree last minute and we saw it all skipped a lot of test cases to sweep something.

Yes, I guess what I'm trying to say is we should probably do a smaller cleaner release first and then at the rest later.

",2975,neutral
2025-11-28 07:57:40,"Okay, so I was I was kind of thinking about the launch light and it's not it's not really you know ready Because the the design team day they did not actually finish the mobile screens and I think I think we we just the deadline a bit Wait, no, that's not what I mean. I mean the deadline was fine, but the the scope was was to be And everyone was, you know confused about what is actually important. And also, yeah, also the question and answered part was like, honestly, kind of last minute. And we, we sought to skip a lot of test cases just to, just to ship something. So, yeah, I guess what I'm trying to say is we could probably do a smaller Cleaner released first and then then add the first later.","Okay, I was thinking about the launch light and it's not ready because the design team day they did not finish the mobile screens and I think we the deadline a bit wait, no, that's not what. The deadline was fine, but the scope was to be and everyone was, confused about what is important. And also, yes, also the question and answered part was , honestly, last minute.

And we, we sought to skip a lot of test cases to, ship something. So, yes, I guess what I'm trying to say is we could probably do a smaller cleaner released first and then add the first later.

",585,neutral
2025-11-28 08:03:17,"Okay, so I was kind of thinking about the launcher, right? And it's not, it's not really, you know, ready. Because the design team, they didn't actually finish the mobile screens. And I think, I think we are, we rush the deadline a bit. Wait, no, that's not what I mean. I mean, the deadline was fine, but the scope was too big and everyone was, you know, Confused about what is actually important and also yeah, also the QA part was like honestly kind of last night and we we sort of skipped a lot of test cases just to just to ship something so Yeah, I guess what I'm trying to save is we should probably do a smaller cleaner release first and then and then adds the rest later.","Okay, I was thinking about the launcher, right. And it's not, really, , ready. Because the design team, they didn't finish the mobile screens.

And I think, we are, we rush the deadline a bit. Wait, no, that's not what. The deadline was fine, but the scope was too big and everyone was, , confused about what is important and also yes, also the qa part was honestly last night and we skipped a lot of test cases to ship something yes, I guess what I'm trying to save is we should probably do a smaller cleaner release first and then adds the rest later.

",487,neutral
2025-11-28 08:08:03,"Okay, so I was I was kind of thinking about the launch ride and it's not it's not really you know ready Because they designed the they didn't actually finish the mobile screens and I think I think we have been rusted a line a bit Wade snow that's not what I mean I mean the deadline was fine, but the um the scope was was too big and everyone was you know confused about what is actually important. And also, yeah, also the QA part was like honestly kind of last night. And we, we saw a lot of skipped a lot of test cases just to, just to ship something. So, yeah, I guess what I'm trying to say is we should probably do a smaller cleaner release first and then add the rest later.","Okay, I was thinking about the launch ride and it's not ready because they designed the didn't finish the mobile screens and I think we have been rusted a line a bit wade snow that's not what the deadline was fine, but the the scope was too big and everyone was confused about what is important. And also, yes, also the qa part was honestly last night. And we, we saw a lot of skipped a lot of test cases to, ship something.

So, yes, I guess what I'm trying to say is we should probably do a smaller cleaner release first and then add the rest later.

",566,neutral
2025-11-28 08:10:46,"Okay, so I was kind of thinking about the launch right and It's not it's not really you know ready because the the design team they They did not actually finish the mobile screens and I think and I think we we rushed the deadline a bit Wait, no, that's not what I mean. I mean the deadline was fine, but the The scope was too big and everyone was confused about what is actually important. And also, yeah, also the question and answer part was honestly last minute and we saw a lot of test cases just to ship something. So, yeah, I guess what I am trying to say is we should probably do a smaller, cleaner release first and then then add the rest later.","Okay, I was thinking about the launch and it's not ready because the design team they did not finish the mobile screens and I think we rushed the deadline a bit wait, no, that's not what. The deadline was fine, but the scope was too big and everyone was confused about what is important. And also, yes, also the question and answer part was honestly last minute and we saw a lot of test cases to ship something.

So, yes, I guess what I am trying to say is we should probably do a smaller, cleaner release first and then add the rest later.

",445,neutral
2025-11-28 08:24:25,"Right, so for the arm loading I don't I don't really think it's like working the way we imagine because people They just they just drop on the second Right, so for the arm loading I I don't I don't really think it's like working the way we imagine because people They just it is drop off on the second screen and it's kind of feels too long and maybe maybe also bit I don't know boring and I was trying to check numbers and the numbers are weird because sign ups are up but like the actual activation it's not moving so something is clearly of the weight let me think yeah I think the problem is we are asking too much info at the start and then we don't really show any value until the end of the flow so yeah um I guess I guess we should you know cut the form like in half and show one strong value moment early. Instead of just asking them to fill stuff forever. to our development.","Right, for the arm loading I do not think it is working the way we imagine because people they drop on the second right, for the arm loading I do not I do not think it is working the way we imagine because people they it is drop off on the second screen and it is feels too long and maybe also bit I do not know boring and I was trying to check numbers and the numbers are weird because sign ups are up but the actual activation it is not moving something is clearly of the weight let me think yes I think the problem is we are asking too much info at the start and then we do not demonstrate any value until the end of the flow yes I guess we should cut the form in half and demonstrate one strong value moment early. Instead of asking them to fill stuff forever. To our development.

",3840,formal
2025-11-28 08:26:23,"Right, so for the onboarding, I don't really think it's like working the way we imagined because people, they just drop off on the second screen and it's kind of feels too long and maybe also a bit, I don't know, boring. And I was trying to check the numbers and the numbers are that weird because signups are but like, I could just activate it from moving. So something is clearly off the way. Let me think. Yeah, I think the problem is we are asking for too much info at the start and then we really don't show any value until like the end of the flow. So yeah, um, I guess I guess we should, you know, cut the form like in half and show one strong value moment earlier instead of just just asking them to fill stuff forever.","Right, for the onboarding, I do not think it is working the way we imagined because people, they drop off on the second screen and it is feels too long and maybe also a bit, I do not know, boring. And I was trying to check the numbers and that weird because signups are but , I could activate it from moving. Something is clearly off the way. Let me think. Yes, I think the problem is we are asking for too much info at the start and then we do not demonstrate any value until the end of the flow. Yes, , I guess we should, , cut the form in half and demonstrate one strong value moment earlier instead of asking them to fill stuff forever.

",3016,formal
2025-11-28 08:28:35,"Right, so for the on-boarding, I don't really think it's like working the way we imagined because people they just drop off on the second screen and it's kind of it kind of feels too long and maybe maybe also I don't know boring and I was I was trying to check the numbers and the numbers are weird because signups are up but like the actual activation is the moving so something is it's clearly off the way Let me think Yeah, I think the problem is we are asking for too much info at the start and then we we don't really show any value until like the end of the flow So yeah, um, I guess I guess we should you know cut the form like in half and show one strong value moment earlier instead of just just asking them to fill stuff forever.","Right, for the on-boarding, I do not think it is working the way we imagined because people they drop off on the second screen and it is feels too long and maybe also I do not know boring and I was trying to check the numbers and weird because signups are up but the actual activation is the moving something is it is clearly off the way let me think yes, I think the problem is we are asking for too much info at the start and then we do not demonstrate any value until the end of the flow yes, , I guess we should cut the form in half and demonstrate one strong value moment earlier instead of asking them to fill stuff forever.

",3461,formal
2025-11-28 08:30:20,Right to them for the arm loading. I don't need a rope.,"To them for the arm loading. I do not need a rope.

",627,formal
2025-11-28 08:31:39,"And I'm so um... Yeah, yeah, yeah. A piece of this thing... Right, so... I'm for the onboarding. I don't really think it's like working the way we imagined because people... They just drop off on the second screen. And it's kind of... It frees too long and maybe... Maybe also bit boring. I don't know. And I was like, I was trying to check the numbers and the numbers are weird because sign ups are up for the actual activation. It's not moving. So something is kill you off that. Wait, that's me think. Yeah, I think the problem is we are asking for too much in fact the start and then we don't really show up any value until like end of the flow. So yeah, I guess we should, you know, cut the form like in half and show one strong value moment earlier instead of just Just asking them to fill stuff whatever.","And I am. Yes, yes. A piece of this thing.

Right, so. I am for the onboarding. I do not think it is working the way we imagined because people.

They drop off on the second screen. And it is kind of. It frees too long and maybe. Maybe also bit boring. I do not know. And I was , I was trying to check the numbers and weird because sign ups are up for the actual activation. It is not moving. Something is kill you off that. Wait, that's me think. Yes, I think the problem is we are asking for too much in fact the start and then we do not demonstrate up any value until end of the flow. Yes, I guess we should, , cut the form in half and demonstrate one strong value moment earlier instead of asking them to fill stuff whatever.

",4245,formal
2025-11-28 08:36:09,"Right, so I mean for the onboarding I don't I don't really think it's like working the way we imagine because people they just drop off the second screen and it's kind of it kind of is too long and maybe maybe also bit I don't know boring and I was trying to check the numbers and the numbers are weird because signups are up for like the activation is the movie so something is clearly often wait, let me think yeah I think the problem is we are asking too much info at the start and then we don't really show any value until the end of the flow. So yeah, I guess we should, you know, cut the form like in half and show one strong value moment earlier instead of just asking them to fill the stuff forever.","Right, for the onboarding I don't think it's working the way we imagine because people they drop off the second screen, and it's is too long, and maybe also bit I don't know boring, and I was trying to check the numbers, and the numbers are weird because signups are up for the activation is the movie something is clearly often wait, let me think yes I think the problem is we are asking too much info at the start, and then we don't show any value until the end of the flow. Yes, I guess we should, , cut the form in half, and show one strong value moment earlier instead of asking them to fill the stuff forever.

",75,neutral
